epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,7722.36,0.66323,0.44035,0.8254,0.78283,0.73107,0.76419,0.53367,0.89384,0.85372,0.87106,0.00013739,0.00013739,0.00013739
119,7787.67,0.65891,0.44191,0.82753,0.81456,0.71831,0.77338,0.53692,0.89537,0.85733,0.87023,0.000136376,0.000136376,0.000136376
120,7852.66,0.65171,0.43467,0.82852,0.80346,0.72791,0.76811,0.53465,0.89685,0.86514,0.87026,0.000135363,0.000135363,0.000135363
121,7917.73,0.64983,0.43366,0.82657,0.83947,0.70352,0.77185,0.53546,0.89201,0.8775,0.87684,0.000134349,0.000134349,0.000134349
122,7982.65,0.63945,0.4263,0.82789,0.82005,0.7165,0.7668,0.53023,0.90504,0.88674,0.87714,0.000133335,0.000133335,0.000133335
123,8047.81,0.64601,0.42823,0.82381,0.81205,0.72217,0.77012,0.53638,0.88643,0.85142,0.87064,0.000132321,0.000132321,0.000132321
124,8112.91,0.64113,0.433,0.82371,0.79713,0.74066,0.77568,0.5417,0.88489,0.84728,0.87068,0.000131308,0.000131308,0.000131308
125,8178.33,0.64973,0.4312,0.82367,0.84467,0.7017,0.77066,0.53834,0.8891,0.8375,0.87191,0.000130294,0.000130294,0.000130294
126,8243.64,0.64098,0.42613,0.8244,0.82356,0.71487,0.76578,0.53465,0.88946,0.83442,0.87754,0.00012928,0.00012928,0.00012928
127,8308.89,0.64378,0.43317,0.82771,0.83026,0.70361,0.76473,0.53348,0.88614,0.84799,0.87098,0.000128266,0.000128266,0.000128266
128,8374.02,0.64054,0.43296,0.82518,0.82812,0.70761,0.76818,0.53408,0.8902,0.83262,0.87156,0.000127252,0.000127252,0.000127252
129,8439.16,0.63389,0.41941,0.82536,0.81269,0.72091,0.77034,0.53617,0.8912,0.87265,0.87324,0.000126239,0.000126239,0.000126239
130,8503.92,0.6284,0.41784,0.82324,0.82942,0.70928,0.7656,0.53321,0.88958,0.85495,0.87704,0.000125225,0.000125225,0.000125225
131,8568.93,0.62839,0.41526,0.82012,0.82799,0.71458,0.76907,0.53808,0.89607,0.84871,0.87727,0.000124211,0.000124211,0.000124211
132,8634.07,0.62688,0.41329,0.82467,0.82682,0.71076,0.77041,0.53527,0.89917,0.85759,0.87635,0.000123197,0.000123197,0.000123197
